Stock,Date,Close
AMZN,04-05-2023,$101.10
AMZN,04-04-2023,$103.95
AMZN,04-03-2023,$102.41
AMZN,03-31-2023,$103.29
AMZN,03-30-2023,$102.00
AMZN,03-29-2023,$100.25
AMZN,03-28-2023,$97.24
AMZN,03-27-2023,$98.04
AMZN,03-24-2023,$98.13
AMZN,03-23-2023,$98.71
AMZN,03-22-2023,$98.70
AMZN,03-21-2023,$100.61
AMZN,03-20-2023,$97.71
AMZN,03-17-2023,$98.95
AMZN,03-16-2023,$100.04
AMZN,03-15-2023,$96.20
AMZN,03-14-2023,$94.88
AMZN,03-13-2023,$92.43
AMZN,03-10-2023,$90.73
AMZN,03-09-2023,$92.25
AMZN,03-08-2023,$93.92
AMZN,03-07-2023,$93.55
AMZN,03-06-2023,$93.75
AMZN,03-03-2023,$94.90
AMZN,03-02-2023,$92.13
AMZN,03-01-2023,$92.17
AMZN,02-28-2023,$94.23
AMZN,02-27-2023,$93.76
AMZN,02-24-2023,$93.50
AMZN,02-23-2023,$95.82
AMZN,02-22-2023,$95.79
AMZN,02-21-2023,$94.58
AMZN,02-17-2023,$97.20
AMZN,02-16-2023,$98.15
AMZN,02-15-2023,$101.16
AMZN,02-14-2023,$99.70
AMZN,02-13-2023,$99.54
AMZN,02-10-2023,$97.61
AMZN,02-09-2023,$98.24
AMZN,02-08-2023,$100.05
AMZN,02-07-2023,$102.11
AMZN,02-06-2023,$102.18
AMZN,02-03-2023,$103.39
AMZN,02-02-2023,$112.91
AMZN,02-01-2023,$105.15
AMZN,01-31-2023,$103.13
AMZN,01-30-2023,$100.55
AMZN,01-27-2023,$102.24
AMZN,01-26-2023,$99.22
AMZN,01-25-2023,$97.18
AMZN,01-24-2023,$96.32
AMZN,01-23-2023,$97.52
AMZN,01-20-2023,$97.25
AMZN,01-19-2023,$93.68
AMZN,01-18-2023,$95.46
AMZN,01-17-2023,$96.05
AMZN,01-13-2023,$98.12
AMZN,01-12-2023,$95.27
AMZN,01-11-2023,$95.09
AMZN,01-10-2023,$89.87
AMZN,01-09-2023,$87.36
AMZN,01-06-2023,$86.08
AMZN,01-05-2023,$83.12
AMZN,01-04-2023,$85.14
AMZN,01-03-2023,$85.82
AMZN,12-30-2022,$84.00
AMZN,12-29-2022,$84.18
AMZN,12-28-2022,$81.82
AMZN,12-27-2022,$83.04
AMZN,12-23-2022,$85.25
AMZN,12-22-2022,$83.79
AMZN,12-21-2022,$86.77
AMZN,12-20-2022,$85.19
AMZN,12-19-2022,$84.92
AMZN,12-16-2022,$87.86
AMZN,12-15-2022,$88.45
AMZN,12-14-2022,$91.58
AMZN,12-13-2022,$92.49
AMZN,12-12-2022,$90.55
AMZN,12-09-2022,$89.09
AMZN,12-08-2022,$90.35
AMZN,12-07-2022,$88.46
AMZN,12-06-2022,$88.25
AMZN,12-05-2022,$91.01
AMZN,12-02-2022,$94.13
AMZN,12-01-2022,$95.50
AMZN,11-30-2022,$96.54
AMZN,11-29-2022,$92.42
AMZN,11-28-2022,$93.95
AMZN,11-25-2022,$93.41
AMZN,11-23-2022,$94.13
AMZN,11-22-2022,$93.20
AMZN,11-21-2022,$92.46
AMZN,11-18-2022,$94.14
AMZN,11-17-2022,$94.85
AMZN,11-16-2022,$97.12
AMZN,11-15-2022,$98.94
AMZN,11-14-2022,$98.49
AMZN,11-11-2022,$100.79
AMZN,11-10-2022,$96.63
AMZN,11-09-2022,$86.14
AMZN,11-08-2022,$89.98
AMZN,11-07-2022,$90.53
AMZN,11-04-2022,$90.98
AMZN,11-03-2022,$89.30
AMZN,11-02-2022,$92.12
AMZN,11-01-2022,$96.79
AMZN,10-31-2022,$102.44
AMZN,10-28-2022,$103.41
AMZN,10-27-2022,$110.96
AMZN,10-26-2022,$115.66
AMZN,10-25-2022,$120.60
AMZN,10-24-2022,$119.82
AMZN,10-21-2022,$119.32
AMZN,10-20-2022,$115.25
AMZN,10-19-2022,$115.07
AMZN,10-18-2022,$116.36
AMZN,10-17-2022,$113.79
AMZN,10-14-2022,$106.90
AMZN,10-13-2022,$112.53
AMZN,10-12-2022,$112.90
AMZN,10-11-2022,$112.21
AMZN,10-10-2022,$113.67
AMZN,10-07-2022,$114.56
AMZN,10-06-2022,$120.30
AMZN,10-05-2022,$120.95
AMZN,10-04-2022,$121.09
AMZN,10-03-2022,$115.88
AMZN,09-30-2022,$113.00
AMZN,09-29-2022,$114.80
AMZN,09-28-2022,$118.01
AMZN,09-27-2022,$114.41
AMZN,09-26-2022,$115.15
AMZN,09-23-2022,$113.78
AMZN,09-22-2022,$117.31
AMZN,09-21-2022,$118.54
AMZN,09-20-2022,$122.19
AMZN,09-19-2022,$124.66
AMZN,09-16-2022,$123.53
AMZN,09-15-2022,$126.28
AMZN,09-14-2022,$128.55
AMZN,09-13-2022,$126.82
AMZN,09-12-2022,$136.45
AMZN,09-09-2022,$133.27
AMZN,09-08-2022,$129.82
AMZN,09-07-2022,$129.48
AMZN,09-06-2022,$126.11
AMZN,09-02-2022,$127.51
AMZN,09-01-2022,$127.82
AMZN,08-31-2022,$126.77
AMZN,08-30-2022,$128.73
AMZN,08-29-2022,$129.79
AMZN,08-26-2022,$130.75
AMZN,08-25-2022,$137.28
AMZN,08-24-2022,$133.80
AMZN,08-23-2022,$133.62
AMZN,08-22-2022,$133.22
AMZN,08-19-2022,$138.23
AMZN,08-18-2022,$142.30
AMZN,08-17-2022,$142.10
AMZN,08-16-2022,$144.78
AMZN,08-15-2022,$143.18
AMZN,08-12-2022,$143.55
AMZN,08-11-2022,$140.64
AMZN,08-10-2022,$142.69
AMZN,08-09-2022,$137.83
AMZN,08-08-2022,$139.41
AMZN,08-05-2022,$140.80
AMZN,08-04-2022,$142.57
AMZN,08-03-2022,$139.52
AMZN,08-02-2022,$134.16
AMZN,08-01-2022,$135.39
AMZN,07-29-2022,$134.95
AMZN,07-28-2022,$122.28
AMZN,07-27-2022,$120.97
AMZN,07-26-2022,$114.81
AMZN,07-25-2022,$121.14
AMZN,07-22-2022,$122.42
AMZN,07-21-2022,$124.63
AMZN,07-20-2022,$122.77
AMZN,07-19-2022,$118.21
AMZN,07-18-2022,$113.76
AMZN,07-15-2022,$113.55
AMZN,07-14-2022,$110.63
AMZN,07-13-2022,$110.40
AMZN,07-12-2022,$109.22
